n,ngram,support,errors,error_rate
2,nh,31,22,0.7096774193548387
2,np,31,17,0.5483870967741935
2,rj,31,22,0.7096774193548387
2,hs,30,16,0.5333333333333333
2,tk,30,17,0.5666666666666667
2,ov,30,17,0.5666666666666667
2,sc,30,21,0.7
2,pp,30,22,0.7333333333333333
2,jy,29,20,0.6896551724137931
2,vr,29,13,0.4482758620689655
2,pt,29,20,0.6896551724137931
2,lp,29,10,0.3448275862068966
2,fe,29,21,0.7241379310344828
2,yi,28,21,0.75
2,rl,28,21,0.75
2,nm,27,13,0.48148148148148145
2,kk,26,18,0.6923076923076923
2,sm,26,10,0.38461538461538464
2,mr,25,9,0.36
2,if,25,14,0.56
2,zi,24,15,0.625
2,vo,24,7,0.2916666666666667
2,nw,24,11,0.4583333333333333
2,sy,24,23,0.9583333333333334
2,gn,23,14,0.6086956521739131
2,ds,23,14,0.6086956521739131
2,gl,22,13,0.5909090909090909
2,cu,22,17,0.7727272727272727
2,ff,22,20,0.9090909090909091
2,hp,21,6,0.2857142857142857
2,gd,21,11,0.5238095238095238
2,sn,21,18,0.8571428571428571
2,fl,21,12,0.5714285714285714
2,jn,20,10,0.5
2,hd,20,12,0.6
2,ef,20,15,0.75
2,mk,19,11,0.5789473684210527
2,dv,19,9,0.47368421052631576
2,md,19,13,0.6842105263157895
2,oa,19,14,0.7368421052631579
2,qu,19,13,0.6842105263157895
2,yn,19,10,0.5263157894736842
2,uh,19,6,0.3157894736842105
2,sl,19,12,0.631578947368421
2,lb,18,14,0.7777777777777778
2,lh,18,14,0.7777777777777778
2,hc,18,10,0.5555555555555556
2,fu,18,14,0.7777777777777778
2,of,18,14,0.7777777777777778
2,ps,18,11,0.6111111111111112
2,ez,18,16,0.8888888888888888
2,mt,17,14,0.8235294117647058
2,cc,17,10,0.5882352941176471
2,oi,17,12,0.7058823529411765
2,gt,17,10,0.5882352941176471
2,ft,17,10,0.5882352941176471
2,dn,17,9,0.5294117647058824
2,mc,17,9,0.5294117647058824
2,pn,17,4,0.23529411764705882
2,ax,17,10,0.5882352941176471
2,iz,17,13,0.7647058823529411
2,ui,17,9,0.5294117647058824
2,mn,16,8,0.5
2,nr,16,7,0.4375
2,ms,16,12,0.75
2,ym,16,14,0.875
2,tw,16,6,0.375
2,ze,16,14,0.875
2,sr,16,6,0.375
2,my,16,9,0.5625
2,eu,16,9,0.5625
2,hb,16,8,0.5
