n,ngram,support,errors,error_rate
2,xt,6,3,0.5
2,vu,6,6,1.0
2,ws,6,6,1.0
2,tc,6,2,0.3333333333333333
2,bt,6,5,0.8333333333333334
2,df,6,5,0.8333333333333334
2,uw,6,5,0.8333333333333334
2,gv,6,4,0.6666666666666666
2,jv,6,3,0.5
2,yp,6,5,0.8333333333333334
2,gk,6,4,0.6666666666666666
2,vl,6,1,0.16666666666666666
2,wh,6,4,0.6666666666666666
2,uo,6,5,0.8333333333333334
2,sf,6,4,0.6666666666666666
2,uu,6,5,0.8333333333333334
2,jw,5,3,0.6
2,pw,5,5,1.0
2,bz,5,5,1.0
2,bm,5,3,0.6
2,cd,5,2,0.4
2,hg,5,3,0.6
2,jp,5,2,0.4
2,vt,5,4,0.8
2,vj,5,2,0.4
2,kc,5,3,0.6
2,yg,5,3,0.6
2,uy,5,4,0.8
2,eq,5,3,0.6
2,yb,5,4,0.8
2,zy,5,5,1.0
2,vk,5,2,0.4
2,wc,4,4,1.0
2,cw,4,4,1.0
2,xy,4,4,1.0
2,fj,4,4,1.0
2,tg,4,2,0.5
2,xo,4,2,0.5
2,pv,4,2,0.5
2,gp,4,3,0.75
2,iq,4,4,1.0
2,ux,4,1,0.25
2,yw,4,4,1.0
2,km,4,3,0.75
2,zh,4,3,0.75
2,gc,4,2,0.5
2,tf,3,3,1.0
2,wm,3,3,1.0
2,vw,3,3,1.0
2,qe,3,3,1.0
2,qi,3,3,1.0
2,yh,3,3,1.0
2,vp,3,1,0.3333333333333333
2,vm,3,1,0.3333333333333333
2,xm,3,1,0.3333333333333333
2,td,3,2,0.6666666666666666
2,pc,3,1,0.3333333333333333
2,gw,3,2,0.6666666666666666
2,vd,3,2,0.6666666666666666
2,wg,3,3,1.0
2,yv,3,2,0.6666666666666666
2,cp,3,1,0.3333333333333333
2,fs,3,3,1.0
2,fc,3,0,0.0
2,jg,3,1,0.3333333333333333
2,jk,3,1,0.3333333333333333
2,rz,3,3,1.0
2,bg,3,1,0.3333333333333333
2,hz,2,2,1.0
2,hj,2,2,1.0
2,zt,2,2,1.0
2,tb,2,2,1.0
